               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04384,            0.005316,            0.010019,             0.55951,             0.53243,             0.53294,             0.25819,            0.042373,           0.0030031,           0.0085085,            0.006535,            0.006535,            0.006535
                  37,            0.043746,            0.005323,            0.009936,             0.56286,               0.531,             0.53378,             0.25967,            0.042314,               0.003,           0.0084885,            0.006436,            0.006436,            0.006436
                  38,             0.04368,           0.0052963,           0.0098396,             0.56461,             0.53392,             0.53622,             0.26038,            0.042259,           0.0029975,           0.0084737,            0.006337,            0.006337,            0.006337
                  39,            0.043722,           0.0053157,           0.0098721,             0.56621,             0.53066,             0.53605,             0.26085,            0.042204,           0.0029954,           0.0084658,            0.006238,            0.006238,            0.006238
                  40,            0.043467,           0.0052193,            0.009735,             0.56909,             0.53001,             0.53806,             0.26189,            0.042175,           0.0029933,           0.0084499,            0.006139,            0.006139,            0.006139
                  41,             0.04315,           0.0052831,           0.0095849,             0.56601,             0.53491,             0.53953,             0.26251,            0.042158,           0.0029911,           0.0084264,             0.00604,             0.00604,             0.00604
                  42,            0.043244,           0.0052935,           0.0093551,             0.56836,              0.5351,             0.54052,             0.26301,            0.042146,           0.0029895,           0.0084169,            0.005941,            0.005941,            0.005941
                  43,            0.043243,           0.0052521,           0.0092864,             0.57062,             0.53638,             0.54248,             0.26384,            0.042125,           0.0029863,           0.0084041,            0.005842,            0.005842,            0.005842
                  44,            0.043005,           0.0052756,           0.0090722,             0.56986,             0.53782,             0.54344,             0.26435,            0.042106,           0.0029837,           0.0083942,            0.005743,            0.005743,            0.005743
                  45,            0.042833,           0.0052545,           0.0091951,             0.56825,             0.53918,             0.54405,              0.2649,            0.042079,           0.0029816,           0.0083901,            0.005644,            0.005644,            0.005644
                  46,            0.042655,           0.0052351,              0.0091,             0.57029,             0.53926,             0.54395,             0.26555,            0.042052,           0.0029802,            0.008389,            0.005545,            0.005545,            0.005545
                  47,            0.042522,           0.0052311,            0.009056,             0.56896,                0.54,             0.54457,             0.26603,             0.04203,           0.0029774,           0.0083786,            0.005446,            0.005446,            0.005446
                  48,            0.042541,           0.0052408,           0.0090188,             0.56871,             0.54237,              0.5453,             0.26646,            0.042009,           0.0029748,           0.0083711,            0.005347,            0.005347,            0.005347
                  49,            0.042386,           0.0051545,           0.0087121,             0.56996,             0.54366,             0.54681,             0.26745,            0.041987,           0.0029726,           0.0083635,            0.005248,            0.005248,            0.005248
                  50,             0.04224,           0.0052248,           0.0086475,             0.57231,             0.54421,             0.54698,             0.26769,            0.041963,            0.002971,           0.0083586,            0.005149,            0.005149,            0.005149
                  51,            0.042091,           0.0051656,            0.008673,             0.57187,             0.54374,             0.54722,             0.26781,            0.041941,           0.0029686,            0.008352,             0.00505,             0.00505,             0.00505
                  52,            0.041756,           0.0051813,           0.0084834,             0.57123,             0.54396,              0.5475,             0.26814,            0.041925,           0.0029666,           0.0083482,            0.004951,            0.004951,            0.004951
                  53,             0.04154,           0.0051914,           0.0082655,             0.57138,             0.54492,             0.54802,             0.26862,             0.04191,           0.0029642,           0.0083478,            0.004852,            0.004852,            0.004852
                  54,            0.041713,           0.0051285,           0.0083129,             0.57142,              0.5469,             0.54906,             0.26926,            0.041892,           0.0029618,           0.0083451,            0.004753,            0.004753,            0.004753
                  55,             0.04169,           0.0051459,           0.0082084,             0.56949,             0.54934,              0.5497,              0.2696,            0.041865,           0.0029595,           0.0083395,            0.004654,            0.004654,            0.004654
                  56,             0.04129,           0.0051738,           0.0081158,             0.57044,             0.55036,             0.55053,             0.27025,            0.041842,           0.0029571,           0.0083335,            0.004555,            0.004555,            0.004555
                  57,            0.041339,           0.0051019,           0.0081128,             0.57415,             0.54985,             0.55161,             0.27072,            0.041825,           0.0029546,           0.0083288,            0.004456,            0.004456,            0.004456
                  58,             0.04125,           0.0051009,           0.0081971,             0.57803,             0.54915,             0.55257,             0.27102,            0.041809,           0.0029524,           0.0083227,            0.004357,            0.004357,            0.004357
                  59,            0.041031,           0.0051804,            0.007904,             0.58046,             0.54784,             0.55326,             0.27209,            0.041788,           0.0029503,           0.0083181,            0.004258,            0.004258,            0.004258
                  60,            0.040858,           0.0051651,           0.0077778,             0.58189,             0.54583,             0.55353,             0.27241,            0.041759,            0.002948,           0.0083115,            0.004159,            0.004159,            0.004159
                  61,            0.040834,           0.0051335,           0.0077273,             0.58179,             0.54858,             0.55397,             0.27291,            0.041736,           0.0029454,           0.0083112,             0.00406,             0.00406,             0.00406
                  62,            0.040588,            0.005121,           0.0075417,             0.58329,             0.54639,             0.55412,             0.27342,            0.041708,            0.002943,           0.0083085,            0.003961,            0.003961,            0.003961
                  63,            0.040458,           0.0050813,           0.0073498,             0.58143,             0.54804,             0.55458,             0.27385,            0.041682,           0.0029408,           0.0083082,            0.003862,            0.003862,            0.003862
                  64,            0.040319,           0.0050543,           0.0073849,             0.58362,             0.55048,             0.55537,             0.27417,            0.041658,           0.0029385,           0.0083057,            0.003763,            0.003763,            0.003763
                  65,            0.040381,           0.0051312,           0.0073448,             0.58474,             0.54914,             0.55575,             0.27481,            0.041637,           0.0029361,           0.0083034,            0.003664,            0.003664,            0.003664
                  66,            0.040104,           0.0050228,           0.0071776,             0.58428,             0.54855,             0.55613,             0.27521,            0.041614,           0.0029339,           0.0083025,            0.003565,            0.003565,            0.003565
                  67,            0.040142,           0.0050909,           0.0073306,             0.58668,             0.54844,             0.55675,             0.27578,            0.041586,           0.0029316,           0.0082975,            0.003466,            0.003466,            0.003466
                  68,            0.039945,           0.0050413,           0.0069197,             0.58928,             0.54821,             0.55806,             0.27632,            0.041566,           0.0029297,           0.0082934,            0.003367,            0.003367,            0.003367
                  69,            0.039545,            0.005012,           0.0067927,             0.59098,             0.54644,             0.55848,             0.27673,            0.041548,           0.0029273,           0.0082912,            0.003268,            0.003268,            0.003268
                  70,            0.039408,           0.0050402,           0.0067665,             0.59006,             0.54974,             0.55888,             0.27699,            0.041524,           0.0029254,           0.0082885,            0.003169,            0.003169,            0.003169
                  71,            0.039342,           0.0049955,           0.0066701,             0.58977,             0.54859,             0.55924,             0.27716,            0.041502,           0.0029234,           0.0082913,             0.00307,             0.00307,             0.00307
                  72,            0.039132,           0.0050302,           0.0065611,             0.59107,             0.54981,             0.56053,             0.27751,            0.041484,           0.0029211,           0.0082948,            0.002971,            0.002971,            0.002971
                  73,            0.039009,           0.0050262,           0.0065684,             0.59266,             0.55009,             0.56103,             0.27832,            0.041462,           0.0029189,           0.0082967,            0.002872,            0.002872,            0.002872
                  74,            0.038829,            0.005065,           0.0062743,              0.5912,             0.55114,             0.56169,             0.27866,            0.041448,            0.002917,           0.0083028,            0.002773,            0.002773,            0.002773
                  75,             0.03847,           0.0049994,           0.0061306,             0.58915,             0.55349,             0.56233,             0.27957,            0.041427,           0.0029152,           0.0083114,            0.002674,            0.002674,            0.002674
                  76,            0.038634,           0.0049614,            0.006079,             0.59079,             0.55287,              0.5631,             0.28001,            0.041409,           0.0029134,           0.0083179,            0.002575,            0.002575,            0.002575
                  77,            0.038516,           0.0049696,           0.0061228,             0.59185,             0.55329,             0.56369,             0.28038,            0.041386,           0.0029116,            0.008327,            0.002476,            0.002476,            0.002476
                  78,            0.038308,           0.0049511,           0.0060688,             0.59199,             0.55203,             0.56352,             0.28093,            0.041362,           0.0029098,           0.0083314,            0.002377,            0.002377,            0.002377
                  79,            0.038222,            0.004944,           0.0059608,              0.5917,             0.55422,             0.56446,             0.28126,            0.041342,           0.0029081,           0.0083372,            0.002278,            0.002278,            0.002278
                  80,             0.03778,           0.0049144,           0.0056925,             0.59258,             0.55479,             0.56502,             0.28123,            0.041323,           0.0029063,           0.0083441,            0.002179,            0.002179,            0.002179
                  81,            0.037591,           0.0049145,            0.005652,             0.59762,             0.55401,             0.56637,             0.28173,            0.041303,           0.0029046,           0.0083522,             0.00208,             0.00208,             0.00208
                  82,            0.037472,           0.0048934,           0.0054765,             0.59632,              0.5534,             0.56579,             0.28228,            0.041283,           0.0029029,           0.0083555,            0.001981,            0.001981,            0.001981
                  83,            0.037424,           0.0049027,           0.0054425,             0.59586,             0.55428,             0.56638,              0.2826,            0.041262,           0.0029013,           0.0083666,            0.001882,            0.001882,            0.001882
                  84,            0.037138,           0.0048098,           0.0053187,             0.59815,             0.55476,              0.5668,             0.28303,            0.041244,           0.0028999,           0.0083686,            0.001783,            0.001783,            0.001783
