               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091601,             0.02387,            0.056418,              0.5587,             0.09104,            0.081772,            0.031317,            0.069809,            0.017984,            0.045869,            0.070014,           0.0033317,           0.0033317
                   1,            0.072605,            0.018961,            0.039232,             0.78189,             0.18357,             0.19984,            0.096493,             0.06187,            0.016899,            0.034347,            0.039948,           0.0065991,           0.0065991
                   2,             0.06776,            0.018179,            0.032535,              0.7882,             0.22353,             0.24912,             0.12811,             0.05846,            0.016235,            0.029678,           0.0098163,           0.0098004,           0.0098004
                   3,            0.063562,            0.017516,            0.029367,             0.75711,             0.24893,             0.30536,             0.17045,            0.055938,            0.015607,            0.025728,            0.009703,            0.009703,            0.009703
                   4,            0.061114,            0.017059,            0.027208,             0.67287,             0.29074,             0.33736,             0.18985,            0.054338,            0.015303,             0.02374,            0.009703,            0.009703,            0.009703
