               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096583,            0.015499,            0.046699,           0.0009087,               0.004,           0.0004817,          0.00011005,            0.097313,            0.009652,             0.04504,            0.070058,           0.0033269,           0.0033269
                   1,            0.092131,            0.015626,            0.042385,           0.0011333,            0.092955,          0.00090808,          0.00022834,             0.09163,           0.0096626,             0.03994,            0.038739,           0.0053415,           0.0053415
                   2,            0.090433,            0.015782,            0.039309,           0.0011794,              0.1014,           0.0011003,          0.00026364,            0.090911,           0.0095954,            0.037115,           0.0061003,           0.0060361,           0.0060361
                   3,            0.089038,            0.016127,            0.037758,           0.0010378,             0.10164,           0.0013024,          0.00033879,            0.090179,           0.0095918,            0.035519,             0.00406,             0.00406,             0.00406
                   4,             0.08778,            0.016165,             0.03642,           0.0013713,             0.11382,           0.0015176,           0.0003619,            0.089627,           0.0095788,            0.034004,             0.00406,             0.00406,             0.00406
