               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04171,             0.01622,           0.0085346,             0.73886,             0.33166,             0.31891,             0.13871,            0.040275,            0.010355,           0.0064335,            0.006535,            0.006535,            0.006535
                  37,            0.040962,            0.016273,           0.0075326,              0.7441,             0.32573,             0.31041,             0.13229,             0.04164,            0.010468,           0.0064823,            0.006436,            0.006436,            0.006436
                  38,            0.041312,            0.015774,           0.0076543,             0.72601,             0.33808,             0.31079,             0.13654,            0.041917,            0.010361,           0.0068961,            0.006337,            0.006337,            0.006337
                  39,            0.040583,            0.015942,           0.0079927,             0.72802,             0.34469,             0.31162,             0.13039,            0.042131,            0.010456,           0.0066135,            0.006238,            0.006238,            0.006238
                  40,            0.040383,            0.016121,           0.0082046,              0.7436,             0.33291,             0.32553,             0.14216,            0.040404,            0.010364,           0.0066342,            0.006139,            0.006139,            0.006139
                  41,            0.040427,            0.016088,           0.0077626,              0.7613,             0.31208,             0.31662,             0.14145,            0.040934,            0.010333,           0.0064329,             0.00604,             0.00604,             0.00604
                  42,            0.039893,            0.015835,           0.0071311,             0.70701,             0.35457,             0.32902,              0.1414,            0.040315,            0.010577,           0.0062601,            0.005941,            0.005941,            0.005941
                  43,            0.039473,            0.015836,           0.0072579,             0.72323,             0.34159,             0.33522,             0.15372,            0.039965,            0.010373,           0.0061364,            0.005842,            0.005842,            0.005842
                  44,            0.039567,            0.015648,           0.0074737,             0.77745,             0.32312,             0.34869,             0.16014,            0.038973,            0.010222,           0.0061293,            0.005743,            0.005743,            0.005743
                  45,            0.039537,            0.016272,           0.0069392,             0.76318,             0.33787,             0.33416,             0.15151,            0.039716,            0.010242,           0.0063329,            0.005644,            0.005644,            0.005644
                  46,            0.039063,            0.015852,           0.0077586,             0.75898,             0.36252,             0.35392,              0.1601,             0.03924,             0.01026,           0.0064948,            0.005545,            0.005545,            0.005545
