               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04203,            0.016543,           0.0085254,             0.71376,             0.31352,             0.28404,             0.12613,            0.040973,             0.01045,           0.0063261,            0.006535,            0.006535,            0.006535
                  37,            0.041522,            0.016382,            0.008162,             0.75846,             0.28802,             0.30394,             0.13024,            0.041767,            0.010225,           0.0066468,            0.006436,            0.006436,            0.006436
                  38,            0.041912,            0.016723,           0.0074679,             0.72879,              0.3119,             0.29886,             0.13063,            0.040076,            0.010242,           0.0064291,            0.006337,            0.006337,            0.006337
                  39,            0.041008,            0.016887,           0.0086209,             0.74442,             0.29443,             0.30081,             0.12962,            0.040145,            0.010288,           0.0061926,            0.006238,            0.006238,            0.006238
                  40,            0.041225,            0.016915,           0.0082714,             0.74294,             0.29123,             0.30447,             0.13798,            0.040667,            0.010183,           0.0065329,            0.006139,            0.006139,            0.006139
                  41,            0.040476,            0.016883,           0.0079902,             0.73283,             0.30698,             0.30867,             0.13945,            0.039936,             0.01032,           0.0062237,             0.00604,             0.00604,             0.00604
                  42,            0.039287,            0.016762,           0.0078607,             0.73431,             0.28642,             0.30775,             0.14305,             0.03987,            0.010263,           0.0064696,            0.005941,            0.005941,            0.005941
                  43,            0.040083,            0.016903,           0.0081426,             0.73351,             0.30135,             0.31134,             0.14302,            0.040201,             0.01016,           0.0062848,            0.005842,            0.005842,            0.005842
                  44,            0.039914,            0.016121,           0.0077795,             0.72845,             0.29795,             0.29245,             0.13299,            0.040139,            0.010223,           0.0067245,            0.005743,            0.005743,            0.005743
                  45,            0.039681,            0.016566,           0.0074696,             0.74958,             0.30552,             0.32267,              0.1456,            0.039616,            0.010191,           0.0060646,            0.005644,            0.005644,            0.005644
                  46,             0.03916,            0.016538,           0.0076018,             0.75547,             0.29604,             0.33592,             0.15448,            0.038959,            0.010133,           0.0066722,            0.005545,            0.005545,            0.005545
                  47,            0.038812,            0.016681,            0.007566,             0.75016,             0.31301,             0.32888,             0.15288,            0.039013,            0.010197,           0.0066503,            0.005446,            0.005446,            0.005446
                  48,            0.038978,             0.01645,           0.0074234,             0.70806,              0.3368,             0.31543,             0.14612,            0.039022,            0.010144,           0.0064239,            0.005347,            0.005347,            0.005347
                  49,            0.038397,            0.016157,           0.0074429,             0.75555,             0.31331,             0.34388,             0.16874,            0.039239,            0.010069,           0.0063052,            0.005248,            0.005248,            0.005248
                  50,             0.03846,            0.016048,           0.0071056,              0.7505,             0.31648,              0.3265,             0.15469,            0.039547,           0.0099878,           0.0062596,            0.005149,            0.005149,            0.005149
                  51,            0.038317,            0.016164,           0.0072691,             0.74809,             0.31759,             0.33875,             0.15417,            0.038458,            0.010082,           0.0063081,             0.00505,             0.00505,             0.00505
                  52,            0.038283,            0.015875,           0.0072903,              0.7413,             0.33113,             0.32711,             0.15217,            0.038567,           0.0099352,           0.0065116,            0.004951,            0.004951,            0.004951
                  53,            0.038117,            0.016254,           0.0073775,             0.76003,             0.32024,             0.33677,             0.15445,            0.038628,           0.0099599,           0.0064823,            0.004852,            0.004852,            0.004852
                  54,            0.037571,            0.016266,           0.0067186,              0.7285,             0.31809,             0.32269,             0.15453,            0.038322,             0.01019,           0.0059772,            0.004753,            0.004753,            0.004753
                  55,            0.037042,            0.016137,           0.0070853,             0.73802,             0.33179,             0.33742,             0.15794,            0.038705,            0.010004,           0.0067948,            0.004654,            0.004654,            0.004654
                  56,            0.036957,            0.016603,           0.0068791,             0.75368,             0.32212,             0.34603,              0.1613,            0.037859,           0.0099681,           0.0065868,            0.004555,            0.004555,            0.004555
                  57,            0.036719,            0.015643,            0.006665,             0.75237,             0.32121,              0.3573,             0.16977,            0.038339,           0.0099201,           0.0065632,            0.004456,            0.004456,            0.004456
                  58,            0.036608,            0.016007,           0.0064467,             0.77667,             0.31492,             0.34612,             0.16034,            0.038961,           0.0099322,            0.006947,            0.004357,            0.004357,            0.004357
                  59,            0.036014,            0.015817,           0.0060273,             0.76727,             0.33477,             0.35294,             0.16569,            0.038698,           0.0098239,           0.0065316,            0.004258,            0.004258,            0.004258
                  60,             0.03598,            0.016274,           0.0068211,              0.7499,             0.32765,             0.34201,             0.16546,            0.038343,            0.010002,           0.0066628,            0.004159,            0.004159,            0.004159
                  61,            0.035759,            0.015894,            0.006138,             0.77723,             0.32863,             0.35714,             0.16883,            0.037507,           0.0098466,           0.0067577,             0.00406,             0.00406,             0.00406
                  62,            0.035355,            0.016241,           0.0065099,             0.75826,             0.31411,             0.33739,              0.1643,            0.038216,           0.0099317,           0.0065646,            0.003961,            0.003961,            0.003961
                  63,            0.035889,            0.016337,           0.0063071,             0.74605,             0.33749,             0.34971,             0.16344,            0.037558,           0.0099905,           0.0064452,            0.003862,            0.003862,            0.003862
                  64,            0.035128,            0.015618,           0.0059125,             0.78954,             0.32114,             0.35549,             0.17015,            0.037402,           0.0098415,           0.0061224,            0.003763,            0.003763,            0.003763
                  65,            0.034898,            0.015825,           0.0055153,             0.76726,              0.3195,             0.35612,             0.17615,            0.037269,           0.0097966,           0.0064418,            0.003664,            0.003664,            0.003664
                  66,            0.035116,            0.016159,           0.0061033,             0.76596,             0.33069,             0.36339,             0.18034,            0.037151,           0.0097787,           0.0060446,            0.003565,            0.003565,            0.003565
                  67,              0.0347,            0.015724,           0.0053703,             0.74512,             0.33195,             0.34644,             0.17678,            0.036769,           0.0098906,           0.0061697,            0.003466,            0.003466,            0.003466
                  68,              0.0345,            0.016278,           0.0055828,             0.76253,             0.32582,             0.36677,             0.17968,            0.037662,           0.0098717,           0.0059559,            0.003367,            0.003367,            0.003367
                  69,            0.033967,            0.015463,           0.0053028,             0.76761,             0.33536,             0.36406,             0.17838,            0.037152,            0.009785,           0.0064742,            0.003268,            0.003268,            0.003268
                  70,            0.034562,            0.015662,           0.0059657,             0.76376,             0.32761,             0.37224,             0.18076,            0.038046,           0.0098883,           0.0063336,            0.003169,            0.003169,            0.003169
                  71,            0.033792,            0.015711,           0.0055406,             0.76493,             0.33811,             0.38199,             0.18582,            0.037051,           0.0098082,           0.0062661,             0.00307,             0.00307,             0.00307
                  72,            0.033813,            0.016003,             0.00537,             0.76739,             0.32307,             0.36378,             0.17724,            0.037371,           0.0098915,           0.0064648,            0.002971,            0.002971,            0.002971
                  73,            0.033821,            0.015337,           0.0054422,             0.78545,             0.32726,             0.35988,             0.18067,            0.037517,           0.0097643,           0.0062008,            0.002872,            0.002872,            0.002872
                  74,            0.033292,             0.01509,            0.005218,             0.77061,             0.32303,             0.35167,             0.17332,            0.037162,           0.0099214,           0.0061805,            0.002773,            0.002773,            0.002773
                  75,            0.032919,            0.015062,           0.0052567,             0.78838,             0.31857,             0.36547,             0.18221,            0.036792,            0.009796,           0.0064612,            0.002674,            0.002674,            0.002674
                  76,            0.034457,            0.015645,           0.0062096,             0.77665,             0.31977,             0.36657,             0.17638,            0.036869,           0.0098089,           0.0062595,            0.002575,            0.002575,            0.002575
                  77,            0.034006,            0.015339,           0.0056094,             0.75382,              0.3464,             0.34885,             0.17283,            0.036743,           0.0097963,           0.0059808,            0.002476,            0.002476,            0.002476
                  78,            0.034042,             0.01522,           0.0057293,             0.76004,             0.33278,             0.37704,             0.18831,            0.036636,           0.0096386,           0.0062513,            0.002377,            0.002377,            0.002377
                  79,            0.034288,            0.015625,            0.006234,             0.77257,             0.33937,             0.38455,             0.19047,             0.03634,           0.0097408,           0.0062548,            0.002278,            0.002278,            0.002278
                  80,            0.033818,            0.015507,           0.0057723,             0.76936,             0.34825,             0.37082,             0.18126,            0.036045,           0.0097197,           0.0065208,            0.002179,            0.002179,            0.002179
                  81,             0.03414,            0.015484,           0.0058915,             0.77057,             0.32678,             0.37409,             0.18238,            0.036611,           0.0097628,           0.0059809,             0.00208,             0.00208,             0.00208
                  82,            0.033725,            0.015235,           0.0059972,             0.76221,             0.33933,             0.37997,             0.18956,            0.036479,           0.0096965,           0.0062592,            0.001981,            0.001981,            0.001981
                  83,            0.033416,            0.015261,           0.0058854,             0.78856,             0.30626,              0.3638,             0.18006,            0.036028,            0.009721,            0.006389,            0.001882,            0.001882,            0.001882
                  84,            0.033474,            0.015571,           0.0057495,             0.76956,             0.31772,             0.36484,             0.18302,            0.036088,           0.0097632,           0.0062519,            0.001783,            0.001783,            0.001783
                  85,            0.033145,            0.015233,           0.0052658,             0.75962,             0.33973,             0.37252,              0.1839,             0.03623,           0.0097852,           0.0061353,            0.001684,            0.001684,            0.001684
                  86,            0.032942,            0.014959,           0.0054325,             0.75041,             0.34297,             0.38406,             0.19318,             0.03597,           0.0097344,           0.0061552,            0.001585,            0.001585,            0.001585
                  87,            0.033308,            0.015487,           0.0056134,             0.78693,             0.31387,             0.37689,             0.19317,            0.036423,           0.0097373,           0.0061716,            0.001486,            0.001486,            0.001486
                  88,            0.033268,            0.015206,            0.006067,             0.75936,             0.32387,             0.38046,             0.19287,            0.036762,           0.0097281,           0.0061991,            0.001387,            0.001387,            0.001387
                  89,            0.033248,            0.015038,           0.0054445,             0.78251,             0.33082,             0.37829,             0.19209,            0.036726,           0.0096961,           0.0062687,            0.001288,            0.001288,            0.001288
                  90,            0.033307,            0.015242,            0.005616,             0.77915,              0.3348,             0.38934,             0.20088,            0.036369,           0.0096715,           0.0061121,            0.001189,            0.001189,            0.001189
                  91,              0.0328,             0.01507,           0.0056226,             0.51542,             0.45966,             0.39217,             0.20219,            0.035918,           0.0097153,           0.0061783,             0.00109,             0.00109,             0.00109
                  92,            0.032469,            0.015008,           0.0054338,              0.5304,             0.41536,             0.38105,             0.19596,            0.036091,           0.0096626,           0.0060684,            0.000991,            0.000991,            0.000991
                  93,            0.032691,            0.015287,           0.0056396,             0.77649,             0.33585,             0.38363,              0.1942,            0.036111,           0.0096938,           0.0062856,            0.000892,            0.000892,            0.000892
                  94,             0.03252,            0.015289,           0.0058043,             0.76994,             0.33263,             0.37555,             0.19232,            0.036255,           0.0097207,           0.0061236,            0.000793,            0.000793,            0.000793
                  95,            0.032642,              0.0148,           0.0054802,             0.78309,              0.3232,             0.38162,             0.19374,            0.036356,           0.0096858,           0.0062188,            0.000694,            0.000694,            0.000694
                  96,            0.032453,            0.015326,            0.005433,             0.78121,               0.332,             0.39289,             0.20063,            0.036246,           0.0096458,           0.0062576,            0.000595,            0.000595,            0.000595
                  97,            0.032065,            0.015219,            0.005516,             0.49239,             0.42991,              0.3739,             0.19338,            0.036078,           0.0096892,           0.0062738,            0.000496,            0.000496,            0.000496
                  98,            0.032425,             0.01506,           0.0057842,             0.49904,             0.42894,             0.37372,             0.19231,            0.036029,           0.0096495,           0.0062808,            0.000397,            0.000397,            0.000397
                  99,            0.032027,            0.015229,           0.0051075,             0.54042,             0.46427,             0.38368,             0.19792,            0.035817,            0.009661,           0.0062843,            0.000298,            0.000298,            0.000298
